anio;provincia_id;provincia_nombre;dpto_id;dpto_nombre;codigo_delito_agrupado_nombre;cantidad_hechos;cantidad_victimas;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de lesiones culposas en siniestros viales;;35;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de violaciones;;0;
2014;6;Buenos Aires;;Benito Juarez;Total de vmctimas de otros delitos contra la integridad sexual;;22;
2014;6;Buenos Aires;;Benito Juarez;Total de hechos de amenazas;64;;
2014;6;Buenos Aires;;Benito Juarez;Total de delitos contra la propiedad;139;;
2014;6;Buenos Aires;;Benito Juarez;Total de hechos de robos;29;;
2014;6;Buenos Aires;;Benito Juarez;Total de hechos de hurtos;58;;
2014;6;Buenos Aires;;Berazategui;Total de hechos delictivos;8015;;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de delitos contra las personas;;2602;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de homicidios dolosos;;22;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de lesiones dolosas;;1675;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de muertes en siniestros viales;;10;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de lesiones culposas en siniestros viales;;520;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de violaciones;;21;
2014;6;Buenos Aires;;Berazategui;Total de vmctimas de otros delitos contra la integridad sexual;;72;
2014;6;Buenos Aires;;Berazategui;Total de hechos de amenazas;1093;;
2014;6;Buenos Aires;;Berazategui;Total de delitos contra la propiedad;3366;;
2014;6;Buenos Aires;;Berazategui;Total de hechos de robos;1558;;
2014;6;Buenos Aires;;Berazategui;Total de hechos de hurtos;712;;
2014;6;Buenos Aires;;Berisso;Total de hechos delictivos;2330;;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de delitos contra las personas;;757;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de homicidios dolosos;;7;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de lesiones dolosas;;419;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de muertes en siniestros viales;;3;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de lesiones culposas en siniestros viales;;76;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de violaciones;;0;
2014;6;Buenos Aires;;Berisso;Total de vmctimas de otros delitos contra la integridad sexual;;11;
2014;6;Buenos Aires;;Berisso;Total de hechos de amenazas;504;;
2014;6;Buenos Aires;;Berisso;Total de delitos contra la propiedad;798;;
2014;6;Buenos Aires;;Berisso;Total de hechos de robos;251;;
2014;6;Buenos Aires;;Berisso;Total de hechos de hurtos;273;;
2014;6;Buenos Aires;;Bolivar;Total de hechos delictivos;336;;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de delitos contra las personas;;41;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de homicidios dolosos;;3;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de lesiones dolosas;;0;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de muertes en siniestros viales;;6;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de lesiones culposas en siniestros viales;;24;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de violaciones;;0;
2014;6;Buenos Aires;;Bolivar;Total de vmctimas de otros delitos contra la integridad sexual;;8;
2014;6;Buenos Aires;;Bolivar;Total de hechos de amenazas;28;;
