anio;provincia_id;provincia_nombre;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas
2014;22;Chaco;11;Otros delitos contra la integridad sexual;206;222
2014;22;Chaco;12;Delitos contra el estado civil;2;
2014;22;Chaco;13;Amenazas;2463;
2014;22;Chaco;14;Otros delitos contra la libertad;55;
2014;22;Chaco;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);7740;
2014;22;Chaco;16;Tentativas de robo;762;
2014;22;Chaco;17;Robos agravados por el resultado de lesiones y/o muertes;1;
2014;22;Chaco;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;0;
2014;22;Chaco;19;Hurtos;9783;
2014;22;Chaco;20;Tentativas de hurto;372;
2014;22;Chaco;21;Otros delitos contra la propiedad;1902;
2014;22;Chaco;22;Delitos contra la seguridad pzblica;401;
2014;22;Chaco;23;Delitos contra el orden pzblico;0;
2014;22;Chaco;24;Delitos contra la seguridad de la nacisn;0;
2014;22;Chaco;25;Delitos contra los poderes pzblicos y el orden constitucional;7;
2014;22;Chaco;26;Delitos contra la administracisn pzblica;634;
2014;22;Chaco;27;Delitos contra la fe pzblica;79;
2014;22;Chaco;28;Ley 23.737 (estupefacientes);761;
2014;22;Chaco;29;Otros delitos previstos en leyes especiales;272;
2014;22;Chaco;30;Figuras contravencionales;4844;
2014;26;Chubut;1;Homicidios dolosos;69;74
2014;26;Chubut;2;Homicidios dolosos en grado de tentativa;26;27
2014;26;Chubut;3;Homicidios cuposos en siniestros viales;28;30
2014;26;Chubut;4;Homicidios cuposos por otros hechos;1;1
2014;26;Chubut;5;Lesiones dolosas;2064;2076
2014;26;Chubut;6;Lesiones culposas en siniestros viales;343;414
2014;26;Chubut;7;Lesiones culposas por otros hechos;47;58
2014;26;Chubut;8;Otros delitos contra las personas;1165;1166
2014;26;Chubut;9;Delitos contra el honor;0;0
2014;26;Chubut;10;Violaciones;80;80
2014;26;Chubut;11;Otros delitos contra la integridad sexual;187;187
2014;26;Chubut;12;Delitos contra el estado civil;0;
2014;26;Chubut;13;Amenazas;2937;
2014;26;Chubut;14;Otros delitos contra la libertad;184;
2014;26;Chubut;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);5665;
2014;26;Chubut;16;Tentativas de robo;608;
2014;26;Chubut;17;Robos agravados por el resultado de lesiones y/o muertes;20;
2014;26;Chubut;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;3;
2014;26;Chubut;19;Hurtos;3107;
2014;26;Chubut;20;Tentativas de hurto;357;
2014;26;Chubut;21;Otros delitos contra la propiedad;2509;
2014;26;Chubut;22;Delitos contra la seguridad pzblica;185;
2014;26;Chubut;23;Delitos contra el orden pzblico;22;
2014;26;Chubut;24;Delitos contra la seguridad de la nacisn;0;
2014;26;Chubut;25;Delitos contra los poderes pzblicos y el orden constitucional;0;
2014;26;Chubut;26;Delitos contra la administracisn pzblica;731;
2014;26;Chubut;27;Delitos contra la fe pzblica;29;
2014;26;Chubut;28;Ley 23.737 (estupefacientes);391;
2014;26;Chubut;29;Otros delitos previstos en leyes especiales;572;
2014;26;Chubut;30;Figuras contravencionales;182;
2014;30;Entre Rmos;1;Homicidios dolosos;80;80
2014;30;Entre Rmos;2;Homicidios dolosos en grado de tentativa;77;74
2014;30;Entre Rmos;3;Homicidios cuposos en siniestros viales;295;322
2014;30;Entre Rmos;4;Homicidios cuposos por otros hechos;2;2
2014;30;Entre Rmos;5;Lesiones dolosas;2877;2959
2014;30;Entre Rmos;6;Lesiones culposas en siniestros viales;2813;3007
2014;30;Entre Rmos;7;Lesiones culposas por otros hechos;99;103
2014;30;Entre Rmos;8;Otros delitos contra las personas;4300;4316
2014;30;Entre Rmos;9;Delitos contra el honor;12;13
2014;30;Entre Rmos;10;Violaciones;39;41
2014;30;Entre Rmos;11;Otros delitos contra la integridad sexual;125;123
2014;30;Entre Rmos;12;Delitos contra el estado civil;2;
2014;30;Entre Rmos;13;Amenazas;3958;
2014;30;Entre Rmos;14;Otros delitos contra la libertad;173;
2014;30;Entre Rmos;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);6436;
2014;30;Entre Rmos;16;Tentativas de robo;417;
2014;30;Entre Rmos;17;Robos agravados por el resultado de lesiones y/o muertes;0;
2014;30;Entre Rmos;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;0;
2014;30;Entre Rmos;19;Hurtos;5249;
2014;30;Entre Rmos;20;Tentativas de hurto;173;
2014;30;Entre Rmos;21;Otros delitos contra la propiedad;2947;
2014;30;Entre Rmos;22;Delitos contra la seguridad pzblica;183;
2014;30;Entre Rmos;23;Delitos contra el orden pzblico;14;
2014;30;Entre Rmos;24;Delitos contra la seguridad de la nacisn;0;
2014;30;Entre Rmos;25;Delitos contra los poderes pzblicos y el orden constitucional;0;
2014;30;Entre Rmos;26;Delitos contra la administracisn pzblica;560;
2014;30;Entre Rmos;27;Delitos contra la fe pzblica;64;
2014;30;Entre Rmos;28;Ley 23.737 (estupefacientes);470;
2014;30;Entre Rmos;29;Otros delitos previstos en leyes especiales;4866;
2014;30;Entre Rmos;30;Figuras contravencionales;6831;
2014;34;Formosa;1;Homicidios dolosos;50;39
2014;34;Formosa;2;Homicidios dolosos en grado de tentativa;50;41
2014;34;Formosa;3;Homicidios cuposos en siniestros viales;57;51
2014;34;Formosa;4;Homicidios cuposos por otros hechos;135;133
2014;34;Formosa;5;Lesiones dolosas;2559;2388
2014;34;Formosa;6;Lesiones culposas en siniestros viales;699;731
2014;34;Formosa;7;Lesiones culposas por otros hechos;30;13
2014;34;Formosa;8;Otros delitos contra las personas;145;103
2014;34;Formosa;9;Delitos contra el honor;198;51
2014;34;Formosa;10;Violaciones;76;53
2014;34;Formosa;11;Otros delitos contra la integridad sexual;79;75
2014;34;Formosa;12;Delitos contra el estado civil;103;
2014;34;Formosa;13;Amenazas;2056;
